,feature,RF,XGB
0,week,0.020972557641671545,0.02466619
1,part1_patient_mean,0.16457116618884318,0.094378255
2,part1_slope,0.24387768219061204,0.20387627
3,policy1,0.10131667531581244,0.13614196
4,Delta1,0.07270253631744036,0.17098282
5,Omicron1,0.07418760133505693,0.05182145
6,policy2,0.07422762119447986,0.06276847
7,part1_std,0.24814415981608373,0.25536466
